Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"Ci2","10nF","0603",19.500000,9.825000,270.000000,bottom
"Cq1","22pF","0603",12.450000,26.500000,90.000000,bottom
"Cq2","22pF","0603",21.400000,26.500000,90.000000,bottom
"Cr1","1uF","0603",23.450000,26.500000,90.000000,bottom
"Cs2","1uF","0603",7.500000,16.750000,90.000000,bottom
"Cs3","220pF","0603",4.550000,20.450000,90.000000,bottom
"Cs4","1uF","0603",15.000000,20.425000,270.000000,bottom
"Cs5","10uF","0603",6.550000,26.775000,90.000000,bottom
"Cs6","10uF","0603",8.250000,26.775000,90.000000,bottom
"Di1","BZT52C4V7","SOD-123",8.650000,10.550000,270.000000,bottom
"Di2","BZT52C4V7","SOD-123",21.950000,10.550000,270.000000,bottom
"Dl1","STATUS","LED_0603",15.000000,16.050000,0.000000,bottom
"Rb1","10k","0603",19.350000,20.425000,270.000000,bottom
"Rc1","100","0603",24.700000,9.800000,270.000000,bottom
"Rc2","100","0603",27.250000,9.800000,270.000000,bottom
"Ri1","10k","0603",15.550000,9.825000,270.000000,bottom
"Ri2","10k","0603",17.500000,9.825000,270.000000,bottom
"Ri3","1k","0603",18.575000,12.450000,180.000000,bottom
"Ri7","10k","0603",11.050000,9.825000,270.000000,bottom
"Ri8","1k","0603",11.975000,12.450000,0.000000,bottom
"Rl1","1k","0603",12.800000,20.425000,270.000000,bottom
"Rq1","1M","0603",16.900000,25.550000,180.000000,bottom
"Rr1","10k","0603",22.450000,23.750000,0.000000,bottom
"Rs1","100k","0603",10.550000,20.425000,90.000000,bottom
"Rs2","10k","0603",10.550000,16.750000,270.000000,bottom
"Rs3","1M","0603",5.400000,16.725000,270.000000,bottom
"Rs4","3k","0603",8.300000,20.450000,270.000000,bottom
"Rs5","10k","0603",6.450000,20.450000,270.000000,bottom
